,Energy_Vol,Energy_PE,Energy_PB,Energy_PS,Energy_PCF,Materials_Vol,Materials_PE,Materials_PB,Materials_PS,Materials_PCF,Industrials_Vol,Industrials_PE,Industrials_PB,Industrials_PS,Industrials_PCF,Consumer Discretionary_Vol,Consumer Discretionary_PE,Consumer Discretionary_PB,Consumer Discretionary_PS,Consumer Discretionary_PCF,Consumer Staples_Vol,Consumer Staples_PE,Consumer Staples_PB,Consumer Staples_PS,Consumer Staples_PCF,Healthcare_Vol,Healthcare_PE,Healthcare_PB,Healthcare_PS,Healthcare_PCF,Financials_Vol,Financials_PE,Financials_PB,Financials_PS,Financials_PCF,IT_Vol,IT_PE,IT_PB,IT_PS,IT_PCF,Telecom Services_Vol,Telecom Services_PE,Telecom Services_PB,Telecom Services_PS,Telecom Services_PCF,Utilities_Vol,Utilities_PE,Utilities_PB,Utilities_PS,Utilities_PCF,HS300
621,1934198269.0,0.304178055447,5.90151515152,9.38554216867,0.656276326874,9516338063.0,0.0798983625071,3.40963855422,5.47741935484,-0.0349037987173,13164564289.0,0.322404371585,3.77441077441,6.67261904762,-0.444664815549,7175357148.0,0.494478951001,4.1778425656,8.52976190476,0.336780258519,2559901417.0,0.478664731495,4.37400530504,8.2039800995,0.43349106204,2198448299.0,0.469788182832,4.10721247563,3.65798611111,0.102500486476,6924422817.0,0.835748792271,5.24242424242,3.31100478469,2.703125,7478241858.0,0.245635910224,3.02495201536,3.25619834711,-0.245827484012,252324722.0,0.202396804261,3.55140186916,12.4590163934,-0.130293159609,2657326387.0,0.43519441675,3.43700787402,3.25746268657,0.216089108911,3339.03
622,1554721221.0,0.304470398711,5.86046511628,9.33333333333,0.656820156386,8701261555.0,0.0794758990054,3.39183673469,5.46710526316,-0.0347190307082,12063947779.0,0.319883040936,3.74657534247,6.6303030303,-0.44130697862,6270116984.0,0.493193717277,4.16814159292,8.51204819277,0.335868790112,2282561181.0,0.476555588322,4.35579514825,8.16161616162,0.431393486385,1649643817.0,0.46947082768,4.11089108911,3.65492957746,0.102397158923,5311651146.0,0.836835599506,5.2480620155,3.30243902439,2.69721115538,6451371245.0,0.245191555903,3.02702702703,3.2531120332,-0.245383411581,233067036.0,0.202139330773,3.54326923077,12.2833333333,-0.130097087379,2290538568.0,0.43358778626,3.42168674699,3.23954372624,0.215205860066,3263.0275
623,1352615171.0,0.304678128749,5.86153846154,9.40740740741,0.657463330457,8042643682.0,0.0784535596417,3.35483870968,5.4025974026,-0.0342753563484,10759543515.0,0.319191919192,3.73648648649,6.58333333333,-0.440286624204,6091569993.0,0.490871512229,4.15451895044,8.48214285714,0.33427163969,1964514400.0,0.473253434668,4.32887700535,8.095,0.428420216989,1512930690.0,0.469237628177,4.111328125,3.64818024263,0.102333495382,4353885393.0,0.837237977805,5.26356589147,3.31219512195,2.70517928287,6154281257.0,0.244293645898,3.01714285714,3.23926380368,-0.244444444444,172446073.0,0.202237991266,3.54545454545,12.35,-0.130159845424,3007560329.0,0.432813286361,3.42629482072,3.23308270677,0.214892553723,3284.9991
624,1594186777.0,0.305077968812,5.86923076923,9.41975308642,0.658326143227,8360576998.0,0.0781280404748,3.33195020747,5.35333333333,-0.0341309984273,11119996449.0,0.319237641453,3.73519163763,6.61728395062,-0.440246406571,6291889610.0,0.488074047704,4.12951807229,8.41104294479,0.332363636364,1923439400.0,0.474029850746,4.33879781421,8.14358974359,0.429189189189,1640194520.0,0.469669117647,4.11267605634,3.65652951699,0.102379163536,5304000184.0,0.836835599506,5.2480620155,3.31862745098,2.69721115538,6246035836.0,0.242972536349,3.00199600798,3.22055674518,-0.243129647591,385656878.0,0.202764976959,3.54502369668,12.4666666667,-0.130518234165,3113805673.0,0.434894493052,3.43495934959,3.25,0.215891670925,3231.9514
625,1006539992.0,0.304593070105,5.86046511628,9.33333333333,0.657391304348,5750990626.0,0.079383655159,3.33606557377,5.35526315789,-0.0341199647902,7572329817.0,0.318409425626,3.7275862069,6.59146341463,-0.439252336449,4632346402.0,0.48709902371,4.1209439528,8.4156626506,0.331828978622,1407948252.0,0.471647962197,4.33967391304,8.10659898477,0.42689120556,1187258452.0,0.468314606742,4.10236220472,3.64335664336,0.102111813416,3291048520.0,0.83746898263,5.23255813953,3.30882352941,2.7,4777796439.0,0.242155949053,2.99807692308,3.20781893004,-0.24234416291,206320794.0,0.202130565419,3.54066985646,12.3333333333,-0.130098452883,2119248305.0,0.434203789042,3.43319838057,3.24904214559,0.215556685308,3242.7524
626,1050220839.0,0.304671351798,5.84920634921,9.32911392405,0.657448706512,5976677372.0,0.0793856587215,3.33054393305,5.37837837838,-0.034122085048,7678366839.0,0.318154402895,3.72791519435,6.59375,-0.438851913478,4770351677.0,0.486219081272,4.10746268657,8.39024390244,0.331246990852,1765172954.0,0.471568919321,4.3397260274,8.08163265306,0.426724137931,1477288877.0,0.467900388394,4.096,3.63765541741,0.102032682344,4050997888.0,0.834804539723,5.25396825397,3.31,2.69105691057,4927431900.0,0.241706161137,2.98828125,3.20754716981,-0.241973746639,164144139.0,0.202006129841,3.53658536585,12.2881355932,-0.130044843049,1833915809.0,0.435964453738,3.44628099174,3.2578125,0.216398546964,3178.8544
627,763513607.0,0.305049668874,5.896,9.32911392405,0.658035714286,5068803747.0,0.0791538385143,3.33472803347,5.34899328859,-0.0340510980091,7270674367.0,0.318385650224,3.72377622378,6.57407407407,-0.439175257732,4208584214.0,0.486135486135,4.10979228487,8.39393939394,0.331102079847,1460600642.0,0.47191679049,4.33879781421,8.10204081633,0.426996504437,1066683049.0,0.467366499315,4.0878243513,3.63765541741,0.101900686635,3756976693.0,0.835427135678,5.23622047244,3.30845771144,2.69230769231,4421220882.0,0.241586348554,2.99217221135,3.20545073375,-0.241892105679,146784690.0,0.201939058172,3.53883495146,12.3559322034,-0.129992867332,1410133824.0,0.433609958506,3.44032921811,3.24031007752,0.215242018538,3202.9475
628,1473329522.0,0.304452466907,5.88372093023,9.37037037037,0.656574394464,8201542311.0,0.0791766395404,3.33467741935,5.37012987013,-0.03405815007,10755841613.0,0.318024263432,3.71959459459,6.59281437126,-0.43882024711,6452975599.0,0.486944727026,4.12643678161,8.39766081871,0.331639722864,2466353516.0,0.472006890612,4.33773087071,8.09852216749,0.42690210335,1874271094.0,0.467671472259,4.09369024857,3.64115646259,0.101981518529,5982545454.0,0.836206896552,5.22307692308,3.31219512195,2.69444444444,6553683366.0,0.241119807345,2.98880597015,3.19760479042,-0.241410488246,232611722.0,0.201608579088,3.53051643192,12.3278688525,-0.129767040552,2379069754.0,0.433082706767,3.4422310757,3.23595505618,0.215032354405,3296.482
629,1630582546.0,0.30519223147,5.87786259542,9.39024390244,0.65811965812,9026615637.0,0.0794502494587,3.33596837945,5.37579617834,-0.0341258288857,11533839773.0,0.318142979208,3.72333333333,6.57058823529,-0.438899803536,6289236656.0,0.483383685801,4.09090909091,8.32369942197,0.329218106996,2269561614.0,0.472333143183,4.34645669291,8.07804878049,0.427024239299,1932406645.0,0.467692974848,4.09297912713,3.63743676223,0.102009931426,5663188567.0,0.834951456311,5.25190839695,3.30769230769,2.69803921569,6713863434.0,0.240883486511,2.98713235294,3.19253438114,-0.241169486495,202528582.0,0.201498528231,3.53521126761,12.3442622951,-0.129693420599,2402855070.0,0.433102081269,3.44094488189,3.24907063197,0.215164943378,3340.1159
630,2698359818.0,0.304798464491,5.88148148148,9.34117647059,0.657284768212,12872049295.0,0.0791107911079,3.32954545455,5.35975609756,-0.0340671265793,17489514743.0,0.316812705367,3.70833333333,6.53672316384,-0.437098602191,9736644416.0,0.483306320908,4.08493150685,8.32960893855,0.328921244209,3596212107.0,0.471468144044,4.33078880407,8.0663507109,0.426352705411,2912075226.0,0.466834592779,4.08073394495,3.6339869281,0.101892151922,9285652844.0,0.834710743802,5.23703703704,3.30373831776,2.68821292776,9158812778.0,0.240538625089,2.98242530756,3.18984962406,-0.240675081549,442069795.0,0.201544401544,3.52702702703,12.4285714286,-0.12972166998,4451707346.0,0.430952380952,3.44106463878,3.23214285714,0.214709371293,3447.6934
