0,ipo_date,ipo_price,ipo_amount,industry_pe,ipo_expense,ipo_subbydistr,undrtype,ipo_leadundr,ipo_auditor,ipo_date_pct,ipo_pct_5,ipo_pct_10,ipo_pct_15,ipo_pct_20,pe_ttm,pb_lf,ps_ttm,pcf_of
600557.SH,2002-09-18,7,40000000,0,10610000,370342,余额包销,华泰证券有限责任公司,南京永华会计师事务所有限公司,141,-1.007706046,-7.053941727,-11.6775341,-10.25489044,0,0,0,0
600558.SH,2001-02-27,7.5,45000000,0,13600000,0,余额包销,华夏证券有限公司,四川华信(集团)会计师事务所有限责任公司,123.3333333,2.98507452,3.820895433,6.328358173,5.074626923,0,0,0,0
600559.SH,2002-10-29,4.36,40000000,0,9492400,322826,余额包销,河北证券有限责任公司,河北华安会计师事务所有限公司,180.9633028,7.510204315,-1.224489808,-0.734693885,-11.83673477,0,0,0,0
600560.SH,2002-09-19,9,30000000,0,13620000,298029,余额包销,北京证券有限责任公司,岳华会计师事务所有限责任公司,132.3333333,1.386896253,-12.24294567,-12.62553787,-13.24725056,0,0,0,0
600561.SH,2002-07-16,4.78,30000000,0,6553900,280842,余额包销,长城证券有限责任公司,中磊会计师事务所有限责任公司,246.4435146,0.483091801,-1.026570082,-0.422705323,-1.509661794,0,0,0,0
600562.SH,2003-01-28,7.2,30000000,0,10200000,311908,余额包销,华泰证券有限责任公司,南京永华会计师事务所有限公司,115,-5.103359222,-5.555555344,-5.103359222,-6.45994854,0,0,0,0
600563.SH,2002-12-10,8.04,50000000,0,19443400,521858,余额包销,国信证券有限责任公司,厦门天健华天有限责任会计师事务所,68.78109453,-1.326455474,0,-1.989683151,-4.347826004,0,0,0,0
600565.SH,2002-07-23,15.8,20000000,0,13191000,291744,余额包销,泰阳证券有限责任公司,深圳南方民和会计师事务所有限责任公司,71.07594937,-2.293747663,-3.218646049,-5.364409924,-5.919348717,0,0,0,0
600566.SH,2001-08-22,7.8,44000000,0,13200000,0,余额包销,长江证券有限责任公司,中勤万信会计师事务所有限公司,169.2307692,-8.095237732,-13.04761887,-16.76190567,-15.85714245,0,0,0,0
600567.SH,2001-12-18,3.06,60000000,0,9715800,0,余额包销,平安证券有限责任公司,天健会计师事务所有限公司,264.379085,-8.161435127,-8.520179749,-7.443946362,-7.443946362,0,0,0,0
600568.SH,2001-05-18,9.7,35000000,0,14779065.37,0,余额包销,长江证券有限责任公司,湖北大信会计师事务有限公司,270.1030928,-6.378829956,-3.481894255,-5.79387188,-3.593314648,0,0,0,0
600569.SH,2001-08-20,6.8,275000000,0,40750000,0,余额包销,国泰君安证券股份有限责任公司,亚太集团会计师事务所有限公司,0.735294118,-9.343065262,-9.489050865,-8.613139153,-11.82481766,0,0,0,0
600570.SH,2003-12-16,15.53,17000000,0,19868371,250194,余额包销,中国国际金融有限公司,浙江天健会计师事务所,28.46104314,-13.7343359,-13.43358421,-8.922306061,-7.719298363,0,0,0,0
600571.SH,2002-11-01,13.87,18000000,0,13868510,198592,余额包销,西北证券有限责任公司,浙江天健会计师事务所有限公司,83.12905552,2.51968503,9.6062994,2.204724312,3.503937006,0,0,0,0
600572.SH,2004-04-12,8.25,40000000,0,24225300,342109,余额包销,西南证券有限责任公司,天健信德会计师事务所有限责任公司,77.21212121,-11.21751022,-17.23666191,-19.28864479,-17.57865906,0,0,0,0
600573.SH,2003-02-26,7.44,63000000,0,16145388.19,581103,余额包销,新疆证券有限责任公司,福建华兴有限责任会计师事务所,55.77956989,-2.847282171,-5.608283043,-8.110440254,-10.26747227,0,0,0,0
600575.SH,2003-03-28,7.08,45000000,0,17000660,427210,余额包销,国元证券有限责任公司,上海立信长江会计师事务所有限公司,69.63276836,2.331390619,-0.915903389,3.913405418,-7.577019215,0,0,0,0
600576.SH,2003-02-20,6.28,60000000,0,22600000,595883,余额包销,光大证券有限责任公司,江苏公证会计师事务所有限公司,81.05095541,-2.814424038,-5.452946186,-8.35532093,-10.99384308,0,0,0,0
600577.SH,2002-09-11,9.9,20000000,0,10585511.23,216127,余额包销,光大证券有限责任公司,安徽华普会计师事务所,116.8686869,12.43595695,8.24406147,4.098742485,1.164415479,0,0,0,0
600578.SH,2002-05-10,5,100000000,0,15927000,0,余额包销,大鹏证券有限责任公司,北京兴华会计师事务所有限责任公司,137.4,-1.095198035,-2.69587183,-5.644481659,-6.065711975,0,0,0,0
600579.SH,2002-08-09,5,60000000,0,13830000,489609,余额包销,海通证券股份有限公司,山东汇德会计师事务所有限公司,153.8,0,1.26083529,0.472813249,-0.551615417,0,0,0,0
